parameter,importance_score,correlation,mutual_info,f_score,methods_used,discovered_at
COOLING_WATER_TEMP_CT_FAN,0.7482260932229768,0.583919122273604,1.6703176286233603,20414.32683952462,3,2025-11-21 22:01:31.668628
SHAFT_VIB._IP_REAR-X,0.6669298545698649,0.48688005623769476,2.5242853866811403,10520.118347459465,3,2025-11-21 22:01:31.668628
MAIN_STEAM_FLOWTPH,0.5871020936077889,0.4027674056801328,1.854902118736331,12754.057642833706,3,2025-11-21 22:01:31.668628
SHAFT_VIB._HP_REAR-YMICRO_METER-UM,0.5745014969407317,0.5000841286990682,2.191684561760429,7275.956365208025,3,2025-11-21 22:01:31.668628
ms_pressureKG-CM2,0.5087723871789477,0.3726881543912521,2.2234450963490247,5594.724868167826,3,2025-11-21 22:01:31.668628
SHAFT_VIB._IP_REAR-Y,0.4831953774109885,0.2946614120473823,2.474967241468578,3589.9632090388172,3,2025-11-21 22:01:31.668628
TOTAL_COAL_FLOW,0.46948594710376573,0.21341056020084456,2.409089055085392,4941.0495414453235,3,2025-11-21 22:01:31.668628
NOX_PPM,0.4284213568561079,0.2715964589576745,2.5278766248320395,279.0150905354738,3,2025-11-21 22:01:31.668628
SHAFT_VIB._HP_FRONT-Y,0.4141000006387145,0.328672258487663,1.967764822468161,2760.0531214470366,3,2025-11-21 22:01:31.668628
O2_LEVEL,0.4075000540031018,0.1530245631373826,2.5271373081161865,1424.2680691692135,3,2025-11-21 22:01:31.668628
BEARING_VIB_HP_FRONT-XMICRO_METER-UM,0.3647634426417444,0.18802572003542015,2.23114585497685,482.75829825672304,3,2025-11-21 22:01:31.668628
BEARING_VIB_HP_REAR-Y,0.34709975037058366,0.15696165785119875,1.9308507228155394,2460.220939447852,3,2025-11-21 22:01:31.668628
REHEAT_TEMP_HRH,0.32227293109653127,0.08056090999994045,2.153449278080192,701.7873025756393,3,2025-11-21 22:01:31.668628
MS_TEMPERATURE,0.30889598896253717,0.11249069285581684,1.9358560706813295,987.9319422373088,3,2025-11-21 22:01:31.668628
SHAFT_VIB_HP_REAR-X,0.3084212771521125,0.2198226325706318,1.7323016048756985,411.59094003825976,3,2025-11-21 22:01:31.668628
BEARING_VIB_HP_FRONT-Y,0.30783646283174176,0.03000202369496987,2.254073839864941,37.16866172316706,3,2025-11-21 22:01:31.668628
SHAFT_VIB._HP_FRONT-X,0.2917061893303823,0.33805032483345226,0.6536743642730123,5685.0205908735,3,2025-11-21 22:01:31.668628
BEARING_VIB_HP_REAR-X,0.2815900979100651,0.07001627585614201,1.9583756797507688,0.8632259856718586,3,2025-11-21 22:01:31.668628
